Name,Code
SIGN_ON,0x01
SET_PARAMETER,0x02
GET_PARAMETER,0x03
SET_DEVICE_PARAMETERS,0x04
OSCCAL,0x05
LOAD_ADDRESS,0x06
FIRMWARE_UPGRADE,0x07
ENTER_PROGMODE_ISP,0x10
LEAVE_PROGMODE_ISP,0x11
CHIP_ERASE_ISP,0x12
PROGRAM_FLASH_ISP,0x13
READ_FLASH_ISP,0x14
PROGRAM_EEPROM_ISP,0x15
READ_EEPROM_ISP,0x16
PROGRAM_FUSE_ISP,0x17
READ_FUSE_ISP,0x18
PROGRAM_LOCK_ISP,0x19
READ_LOCK_ISP,0x1A
READ_SIGNATURE_ISP,0x1B
READ_OSCCAL_ISP,0x1C
SPI_MULTI,0x1D
ENTER_PROGMODE_PP,0x20
LEAVE_PROGMODE_PP,0x21
CHIP_ERASE_PP,0x22
PROGRAM_FLASH_PP,0x23
READ_FLASH_PP,0x24
PROGRAM_EEPROM_PP,0x25
READ_EEPROM_PP,0x26
PROGRAM_FUSE_PP,0x27
READ_FUSE_PP,0x28
PROGRAM_LOCK_PP,0x29
READ_LOCK_PP,0x2A
READ_SIGNATURE_PP,0x2B
READ_OSCCAL_PP,0x2C
SET_CONTROL_STACK,0x2D
ENTER_PROGMODE_HVSP,0x30
LEAVE_PROGMODE_HVSP,0x31
CHIP_ERASE_HVSP,0x32
PROGRAM_FLASH_HVSP,0x33
READ_FLASH_HVSP,0x34
PROGRAM_EEPROM_HVSP,0x35
READ_EEPROM_HVSP,0x36
PROGRAM_FUSE_HVSP,0x37
READ_FUSE_HVSP,0x38
PROGRAM_LOCK_HVSP,0x39
READ_LOCK_HVSP,0x3A
READ_SIGNATURE_HVSP,0x3B
READ_OSCCAL_HVSP,0x3C
READ_RAM_BYTE_ISP,0xE0
PROGRAM_RAM_BYTE_ISP,0xE1
READ_RAM_ISP,0xE2
PROGRAM_RAM_ISP,0xE3
INIT_SD_ISP,0xE6
PROGRAM_SD_ISP,0xE7
READ_SD_ISP,0xE8
PROGRAM_SD_FAT_ISP,0xE9
READ_ANALOG_ISP,0xEA
